matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,bpc_certificate_status,official_lower_bound_source,official_lower_bound_scope,best_diagnostic_bound_source,B0_direct_objective,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_makespan_enters_pricing_objective,B1_root_lp_bound,root_lp_bound_official,root_lp_bound_le_direct_dp_integer_objective,root_lp_vs_direct_dp_gap,integral_root,pricing_round_count,added_column_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,wall_time,fail_closed_reason,direct_root_official_leak,b1_mode,seed_mode,initial_column_count,full_universe_column_count,full_universe_preloaded
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,2.191915,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,0.914075295,0.847824696,1.075037649,0.71148631,False,,False,,,,0,0,,,0,0.005418,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.191915,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,0.914075295,0.847824696,1.075037649,0.71148631,False,2.191915,True,True,0.0,True,1,0,True,True,0,0.011776,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.191915,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,0.914075295,0.847824696,1.075037649,0.71148631,False,2.191915,True,True,0.0,True,3,19,True,True,0,0.013073,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
